customer_id,predicted_revenue,feature,shap_value
12347,1599.9159,future_6_month_orders,0.4645997
12347,1599.9159,avg_order_value,0.33135915
12347,1599.9159,avg_quantity_per_order,0.12121772
12347,1599.9159,total_quantity,0.08245908
12347,1599.9159,total_revenue,0.07873627
12347,1599.9159,spending_trend,-0.05571942
12347,1599.9159,country_encoded_United Kingdom,0.04988552
12347,1599.9159,recency,-0.023877088
12347,1599.9159,active_months,0.016487863
12347,1599.9159,avg_days_between,0.016225412
12349,884.1293,future_6_month_orders,-0.6700852
12349,884.1293,avg_order_value,0.634202
12349,884.1293,avg_quantity_per_order,0.18003371
12349,884.1293,avg_days_between,0.08381151
12349,884.1293,spending_trend,0.08183759
12349,884.1293,total_quantity,0.081373505
12349,884.1293,total_revenue,0.04777895
12349,884.1293,median_days_between,0.047216468
12349,884.1293,country_encoded_United Kingdom,0.029687239
12349,884.1293,customer_tenure_days,0.02312794
12352,562.75354,future_6_month_orders,0.44919106
12352,562.75354,avg_order_value,-0.19575687
12352,562.75354,total_revenue,-0.09151726
12352,562.75354,total_quantity,-0.07433516
12352,562.75354,unique_products,0.071767226
12352,562.75354,avg_quantity_per_order,-0.05103907
12352,562.75354,spending_trend,0.044759244
12352,562.75354,avg_days_between,-0.037134923
12352,562.75354,median_days_between,-0.03300423
12352,562.75354,customer_tenure_days,-0.016658941
12356,474.28683,future_6_month_orders,-0.67517215
12356,474.28683,avg_order_value,0.40410954
12356,474.28683,spending_trend,-0.23397863
12356,474.28683,total_revenue,0.19290468
12356,474.28683,avg_quantity_per_order,0.12184549
12356,474.28683,avg_days_between,-0.066319086
12356,474.28683,total_quantity,0.05149919
12356,474.28683,customer_tenure_days,0.037540432
12356,474.28683,unique_products,0.034211595
12356,474.28683,total_orders,0.031007685
12357,4015.7764,avg_order_value,0.826578
12357,4015.7764,total_revenue,0.53911555
12357,4015.7764,future_6_month_orders,-0.52386665
12357,4015.7764,country_encoded_Switzerland,0.4597096
12357,4015.7764,total_quantity,0.16962163
12357,4015.7764,purchase_frequency,0.16369888
12357,4015.7764,total_orders,0.08412213
12357,4015.7764,customer_tenure_days,0.07183254
12357,4015.7764,spending_trend,0.06778873
12357,4015.7764,avg_quantity_per_order,0.06510007
